Título	Productora/Distribuidora	Director
High School Musical: El Desafío	Patagonik Film Group, Buena Vista International, Artear	Jorge Nisco
El Novio de Mamá	Star Distribution	Nicolás Silbert, Leandro Mark
Tesis sobre un homicidio	Telefe, Haddock Films, Tornasol Films, INCAA	Hernán Goldfrid
Kamchatka	Patagonik	Marcelo Piñeyro
27 Noches	Netflix	Daniel Hendler
Me casé con un boludo	Patagonik Film Group	Juan Taratuto
Papá es un ídolo	Argentina Sono Film, Telefe	Juan José Jusid
Natacha, la película	INCAA, Magoya Films	Eduardo Pinto
Socios por accidente	Cinemagroup	Fabián Forte
La cordillera	K&S Films, Haddock Films, Telefe	Santiago Mitre
Dibu 3	Patagonik	Raúl Rodríguez Peila
Belén	Amazon MGM Studios	Dolores Fonzi
La reina del miedo	Pampa Films	Valeria Bertuccelli, Fabiana Tiscornia
Motivos para no enamorarse	-	Mariano Mucci
Plumíferos	Manos Digitales Animation Studio	Daniel De Felippo
Paco	Zazen Producciones, San Luis Cine, INCAA	Diego Rafecas
Caídos del mapa	INCAA	Leandro Mark
La patota	Telefé, Story Lab	Santiago Mitre
Metegol	100 Bares, Antena 3 Films, Mundoloco CGI Animation Studios, Telefe, Canal+	Juan José Campanella
Viudas	Aleph Media	Marcos Carnevale
Atraco	Argentina Sono Film, Tornasol Films	Eduard Cortés
Música en espera	INCAA	Hernán Goldfrid
Wakolda, el Médico Alemán	Pyramide Productions, Wanda Films, Telefe	Lucía Puenzo
El hilo rojo	MyS Producción, Telefe	Daniela Goggi
Comodines	Patagonik, Pol-Ka	Jorge Nisco
Corazón, las alegrías de Pantriste	Telefe, García Ferré Entertainment	Manuel García Ferré
Linda	Pampa Films, Star Distribution, Gloriamundi Producciones	Mariana Wainstein
Luna de Avellaneda	Pol-Ka	Juan José Campanella
El Gerente	Viacom International Studios, Infinity Hill, Tresplanos Cine Paramount+	Ariel Winograd
La venganza	Telefe	Juan Carlos Desanzo
Crimenes de Familia	Netflix	Sebastián Schindel
Todas las Azafatas van al Cielo	Patagonik	Daniel Burman
Whisky, Romeo, Zulú	-	Marcelo Piñeyro
Animal	Telefe, Rebolución	Armando Bó
No Me Rompan	Habitación 1520, Pan Contenidos	Azul Lombardía
Un Hijo Genial	Telefe	José Luis Massa
Descansar en Paz	Netflix	Sebastián Borensztein
Al final del túnel	Haddock Films, Televisión Española, Telefe, Tornasol Films	Rodrigo Grande
Un argentino en Nueva York	Argentina Sono Film, Telefe	Juan José Jusid
Relatos salvajes	Kramer & Sigman Films, El Deseo, Telefe	Damián Szifron
Corazón de Fuego	Patagonik	Diego Arsuaga
Boogie el aceitoso	Illusion Studios	Gustavo Cova
Gallito Ciego	INCAA	Santiago Carlos Oves
Aballay, el hombre sin miedo	INCAA	Fernando Spiner
La Fuga	Telefe	Eduardo Mignogna
Los Super Agentes: La Nueva Generación	Argentina Sono Film, Telefe	Daniel De Felippo
El Cuaderno de Tomy	Netflix	Carlos Sorín
Un cuento chino	Buena Vista International, Pampa Films, Tornasol Films	Sebastián Borensztein
Valentina, la película	Telefe	Eduardo Gondell
Truman	Kramer & Sigman Films, Telefe, TVE	Cesc Gay
Vidas Privadas	-	Fito Paéz
Un Crimen Argentino	Pampa Films, Particular Crowd HBO Max	Lucas Combina
Jaque Mate	Patagonik, Amazon Studios	Jorge Nisco
Una noche de amor	HC Films, MyS Producción, Patagonik Film Group	Hernán Guerschuny
El último Elvis	Anonymous Content, Kramer & Sigman Films	Armando Bó
El Jockey	Caramel Films	Luis Ortega
Peter Capusoto y sus 3 dimensiones	-	Pedro Saborido
Casi leyendas	Pampa Films	Gabriel Nesci
El Rapto	Rei Cine, Infinity Hill Paramount+	Daniela Goggi
Días de vinilo	Patagonik Film Group, Sudestada Cine	Gabriel Nesci
Ecos de un Crimen	Particular Crowd, Tieless Media, HBO Max	Cristian Bernard
Crónica de una Fuga	20th Century Fox Argentina	Adrián Caetano
Los padecientes	Jempsa, Fox International Productions	Nicolás Tuozzo
Goyo	Netflix	Marcos Carnevale
Pipa	Netflix	Alejandro Montiel
El amor menos pensado	Patagonik	Juan Vera
Hermanas	Patagonik Film Group	Julia Solomonoff
En la Mira	AZ Films HBO Max, Cimarrón Cine, MarVista Entertainment	Ricardo Hornos, Carlos Gil
Yo soy así, Tita de Buenos Aires	Habano Films, Patagonik	Teresa Costantini
Una Flor en el Barro	Lahaye Media, Buen Destino Films Star Distribution	Nicolás Tuozzo
No Sos Vos, Soy Yo	Primer Plano Film Group	Juan Taratuto
Micaela, una película mágica	Juan José Stagnaro	Rosanna Manfredi
La misma sangre	Patagonik, AZ Films, Wildhorse Studios, Cimarrón, Rizoma Films	Miguel Cohan
Cohen vs Rosi	Patagonik Film Group	Daniel Barone
La Corazonada	Netflix	Alejandro Montiel
Elsa y Fred	Alta Films	Marcos Carnevale
Patoruzito 2: La Gran Aventura	Patagonik Film Group	José Luis Massa
Robotia	INCAA	Diego Lucero
La suerte en tus manos	-	Daniel Burman
El desafío	INCAA, Telefe, MyS Producción	Juan Manuel Rampoldi
Tiempo de Valientes	20th Century Fox Argentina	Damián Szifron
Argentina, 1985	La Unión de los Ríos, Kenya Films, Infinity Hill Amazon	Santiago Mitre
Granizo	Netflix	Marcos Carnevale
Corazón Delator	Netflix	Marcos Carnevale
Todos tenemos un Plan	Telefe, Tornasol Films	Ana Piterbarg
La Quietud	Matanza Cine, Macassar Productions, Telefé, Sony	Pablo Trapero
Las Hermanas Fantásticas	Netflix	Fabiana Tiscornia
Nueve Reinas	Patagonik Film Group	Fabián Bielinsky
